Results folder created        : D:\Uni Material\Code_Odyssey\Code\DQN\SOS-DQN-POMO-CG\results\2522_2023-05-17_260512_2221_cg
Loading problem data...
Using device: cpu
Loading POMO model from d:\Uni Material\Code_Odyssey\Code\DQN\SOS-DQN-POMO-CG\results\train_20260421_204908_pomo_training\pretrained_pomo\model_epoch_200.pt...
Building initial dummy basis...
Starting Root Node Column Generation...

[Iteration 1] RMP Objective: 260000.00
[Iteration 1] POMO generated 116 negative RC columns.
[Iteration 1] Adding Columns:
  - Vehicle: 4w | RC: -168587.85 | Cost: 1412.15 | Route: [0, 5, 3, 20, 14, 19, 21, 11, 2, 8, 18, 26, 13, 12, 9, 22, 7, 1, 0]
  - Vehicle: 6w | RC: -158376.25 | Cost: 1623.75 | Route: [0, 1, 18, 7, 26, 13, 12, 9, 22, 21, 11, 2, 8, 19, 5, 3, 20, 0]
  - Vehicle: 4w | RC: -158372.94 | Cost: 1627.06 | Route: [0, 3, 20, 14, 19, 21, 11, 2, 8, 18, 26, 13, 12, 9, 22, 7, 5, 0]
  - Vehicle: 4w | RC: -158367.08 | Cost: 1632.92 | Route: [0, 17, 6, 13, 12, 26, 7, 18, 8, 2, 11, 21, 19, 3, 5, 20, 14, 0]
  - Vehicle: 4w | RC: -158325.95 | Cost: 1674.05 | Route: [0, 19, 21, 11, 2, 8, 18, 7, 26, 12, 9, 22, 13, 5, 3, 20, 14, 0]
  - Vehicle: 4w | RC: -158317.68 | Cost: 1682.32 | Route: [0, 11, 21, 19, 2, 8, 18, 7, 26, 12, 9, 22, 13, 5, 3, 20, 14, 0]
  - Vehicle: 6w | RC: -158284.42 | Cost: 1715.58 | Route: [0, 18, 7, 26, 13, 12, 9, 22, 21, 11, 2, 8, 19, 3, 5, 20, 14, 0]
  - Vehicle: 4w | RC: -158271.14 | Cost: 1728.86 | Route: [0, 25, 6, 17, 13, 26, 12, 9, 22, 21, 11, 2, 8, 18, 7, 19, 5, 0]
  - Vehicle: 6w | RC: -158229.82 | Cost: 1770.18 | Route: [0, 8, 2, 11, 21, 19, 3, 5, 18, 26, 13, 12, 9, 22, 7, 4, 15, 0]
  - Vehicle: 4w | RC: -158216.34 | Cost: 1783.66 | Route: [0, 24, 25, 6, 17, 13, 26, 12, 9, 22, 21, 11, 2, 8, 18, 7, 1, 0]
  - Vehicle: 6w | RC: -158204.68 | Cost: 1795.32 | Route: [0, 7, 26, 13, 12, 9, 22, 21, 11, 2, 8, 18, 19, 3, 5, 20, 14, 0]
  - Vehicle: 6w | RC: -158196.90 | Cost: 1803.10 | Route: [0, 9, 22, 12, 13, 26, 7, 18, 8, 2, 11, 21, 19, 3, 5, 20, 14, 0]
  - Vehicle: 6w | RC: -158183.76 | Cost: 1816.24 | Route: [0, 26, 13, 12, 9, 22, 21, 11, 2, 8, 18, 7, 19, 3, 5, 20, 14, 0]
  - Vehicle: 6w | RC: -158169.43 | Cost: 1830.57 | Route: [0, 22, 9, 12, 13, 26, 7, 18, 8, 2, 11, 21, 19, 3, 5, 20, 14, 0]
  - Vehicle: 6w | RC: -158152.50 | Cost: 1847.50 | Route: [0, 13, 12, 9, 22, 21, 11, 2, 8, 18, 7, 26, 19, 3, 5, 20, 14, 0]
  - Vehicle: 6w | RC: -158107.98 | Cost: 1892.02 | Route: [0, 12, 9, 22, 21, 11, 2, 8, 18, 7, 26, 13, 19, 3, 5, 20, 14, 0]
  - Vehicle: 6w | RC: -158088.87 | Cost: 1911.13 | Route: [0, 6, 17, 13, 12, 26, 7, 18, 8, 2, 11, 21, 19, 3, 5, 20, 14, 0]
  - Vehicle: 6w | RC: -158065.58 | Cost: 1934.42 | Route: [0, 17, 6, 13, 12, 26, 7, 18, 8, 2, 11, 21, 19, 3, 5, 20, 14, 0]
  - Vehicle: 6w | RC: -158041.81 | Cost: 1958.19 | Route: [0, 3, 20, 14, 19, 21, 11, 2, 8, 18, 26, 12, 13, 7, 9, 22, 5, 0]
  - Vehicle: 6w | RC: -158017.63 | Cost: 1982.37 | Route: [0, 19, 21, 11, 2, 8, 18, 7, 26, 12, 9, 22, 13, 5, 3, 20, 14, 0]
  - Vehicle: 6w | RC: -158007.79 | Cost: 1992.21 | Route: [0, 11, 21, 19, 2, 8, 18, 7, 26, 12, 9, 22, 13, 5, 3, 20, 14, 0]
  - Vehicle: 6w | RC: -157953.76 | Cost: 2046.24 | Route: [0, 25, 6, 17, 13, 26, 12, 9, 22, 21, 11, 2, 8, 18, 7, 19, 5, 0]
  - Vehicle: 10w | RC: -157920.76 | Cost: 2079.24 | Route: [0, 1, 18, 7, 26, 13, 12, 9, 22, 21, 11, 2, 8, 19, 5, 3, 20, 0]
  - Vehicle: 6w | RC: -157889.35 | Cost: 2110.65 | Route: [0, 24, 25, 6, 17, 13, 26, 12, 9, 22, 21, 11, 2, 8, 18, 7, 1, 0]
  - Vehicle: 10w | RC: -157802.50 | Cost: 2197.50 | Route: [0, 18, 7, 26, 13, 12, 9, 22, 21, 11, 2, 8, 19, 3, 5, 20, 14, 0]
  - Vehicle: 40ft | RC: -157762.77 | Cost: 2237.23 | Route: [0, 1, 18, 7, 26, 13, 12, 9, 22, 21, 11, 2, 8, 19, 3, 20, 14, 0]
  - Vehicle: 10w | RC: -157700.06 | Cost: 2299.94 | Route: [0, 7, 26, 13, 12, 9, 22, 21, 11, 2, 8, 18, 19, 3, 5, 20, 14, 0]
  - Vehicle: 10w | RC: -157689.92 | Cost: 2310.08 | Route: [0, 9, 22, 12, 13, 26, 7, 18, 8, 2, 11, 21, 19, 3, 5, 20, 14, 0]
  - Vehicle: 10w | RC: -157673.16 | Cost: 2326.84 | Route: [0, 26, 13, 12, 9, 22, 21, 11, 2, 8, 18, 7, 19, 3, 5, 20, 14, 0]
  - Vehicle: 10w | RC: -157654.59 | Cost: 2345.41 | Route: [0, 22, 9, 12, 13, 26, 7, 18, 8, 2, 11, 21, 19, 3, 5, 20, 14, 0]
  - Vehicle: 40ft | RC: -157635.50 | Cost: 2364.50 | Route: [0, 7, 26, 13, 12, 9, 22, 21, 11, 2, 8, 18, 19, 3, 20, 14, 1, 0]
  - Vehicle: 10w | RC: -157633.01 | Cost: 2366.99 | Route: [0, 13, 12, 9, 22, 21, 11, 2, 8, 18, 7, 26, 19, 3, 5, 20, 14, 0]
  - Vehicle: 40ft | RC: -157605.60 | Cost: 2394.40 | Route: [0, 26, 13, 12, 9, 22, 21, 11, 2, 8, 18, 7, 19, 3, 20, 14, 1, 0]
  - Vehicle: 10w | RC: -157575.78 | Cost: 2424.22 | Route: [0, 12, 9, 22, 21, 11, 2, 8, 18, 7, 26, 13, 19, 3, 5, 20, 14, 0]
  - Vehicle: 40ft | RC: -157560.74 | Cost: 2439.26 | Route: [0, 13, 12, 9, 22, 21, 11, 2, 8, 18, 7, 26, 19, 3, 20, 14, 1, 0]
  - Vehicle: 10w | RC: -157551.14 | Cost: 2448.86 | Route: [0, 6, 17, 13, 12, 26, 7, 18, 8, 2, 11, 21, 19, 3, 5, 20, 14, 0]
  - Vehicle: 10w | RC: -157521.28 | Cost: 2478.72 | Route: [0, 17, 6, 13, 12, 26, 7, 18, 8, 2, 11, 21, 19, 3, 5, 20, 14, 0]
  - Vehicle: 40ft | RC: -157497.14 | Cost: 2502.86 | Route: [0, 12, 9, 22, 21, 11, 2, 8, 18, 7, 26, 13, 19, 3, 20, 14, 1, 0]
  - Vehicle: 10w | RC: -157490.59 | Cost: 2509.41 | Route: [0, 3, 20, 14, 19, 21, 11, 2, 8, 18, 26, 12, 13, 7, 9, 22, 5, 0]
  - Vehicle: 40ft | RC: -157468.61 | Cost: 2531.39 | Route: [0, 2, 8, 18, 7, 26, 12, 9, 22, 21, 11, 19, 3, 20, 14, 13, 1, 0]
  - Vehicle: 40ft | RC: -157462.17 | Cost: 2537.83 | Route: [0, 8, 2, 11, 21, 19, 3, 20, 14, 22, 9, 12, 13, 26, 7, 18, 4, 0]
  - Vehicle: 10w | RC: -157459.61 | Cost: 2540.39 | Route: [0, 19, 21, 11, 2, 8, 18, 7, 26, 12, 9, 22, 13, 5, 3, 20, 14, 0]
  - Vehicle: 10w | RC: -157447.02 | Cost: 2552.98 | Route: [0, 11, 21, 19, 2, 8, 18, 7, 26, 12, 9, 22, 13, 5, 3, 20, 14, 0]
  - Vehicle: 10w | RC: -157377.48 | Cost: 2622.52 | Route: [0, 25, 6, 17, 13, 26, 12, 9, 22, 21, 11, 2, 8, 18, 7, 19, 5, 0]
  - Vehicle: 40ft | RC: -157350.54 | Cost: 2649.46 | Route: [0, 18, 7, 26, 13, 12, 9, 22, 21, 11, 2, 8, 19, 3, 20, 14, 4, 0]
  - Vehicle: 40ft | RC: -157344.05 | Cost: 2655.95 | Route: [0, 4, 18, 7, 26, 13, 12, 9, 22, 21, 11, 2, 8, 19, 3, 20, 14, 0]
  - Vehicle: 10w | RC: -157341.28 | Cost: 2658.72 | Route: [0, 21, 11, 2, 8, 18, 7, 26, 12, 9, 22, 13, 19, 3, 5, 20, 14, 0]
  - Vehicle: 10w | RC: -157294.80 | Cost: 2705.20 | Route: [0, 24, 25, 6, 17, 13, 26, 12, 9, 22, 21, 11, 2, 8, 18, 7, 1, 0]
  - Vehicle: 40ft | RC: -157275.79 | Cost: 2724.21 | Route: [0, 6, 17, 13, 12, 26, 7, 18, 8, 2, 11, 21, 19, 3, 20, 14, 9, 0]
  - Vehicle: 40ft | RC: -157270.25 | Cost: 2729.75 | Route: [0, 3, 20, 14, 19, 21, 11, 2, 8, 18, 26, 12, 13, 7, 9, 22, 17, 0]
  - Vehicle: 40ft | RC: -157242.23 | Cost: 2757.77 | Route: [0, 17, 6, 13, 12, 26, 7, 18, 8, 2, 11, 21, 19, 3, 20, 14, 9, 0]
  - Vehicle: 40ft | RC: -157227.29 | Cost: 2772.71 | Route: [0, 19, 21, 11, 2, 8, 18, 7, 26, 12, 9, 22, 13, 17, 6, 4, 15, 0]
  - Vehicle: 40ft | RC: -157225.74 | Cost: 2774.26 | Route: [0, 9, 22, 12, 13, 26, 7, 18, 8, 2, 11, 21, 19, 3, 20, 14, 4, 0]
  - Vehicle: 40ft | RC: -157220.99 | Cost: 2779.01 | Route: [0, 14, 20, 3, 19, 21, 11, 2, 8, 18, 26, 12, 13, 7, 9, 22, 17, 0]
  - Vehicle: 40ft | RC: -157186.54 | Cost: 2813.46 | Route: [0, 22, 9, 12, 13, 26, 7, 18, 8, 2, 11, 21, 19, 3, 20, 14, 4, 0]
  - Vehicle: 40ft | RC: -157129.18 | Cost: 2870.82 | Route: [0, 10, 3, 19, 21, 11, 2, 8, 18, 26, 13, 12, 9, 22, 7, 4, 15, 0]
  - Vehicle: 40ft | RC: -156956.43 | Cost: 3043.57 | Route: [0, 21, 11, 2, 8, 18, 7, 26, 12, 9, 22, 13, 19, 3, 20, 14, 10, 0]
  - Vehicle: 40ft | RC: -156863.93 | Cost: 3136.07 | Route: [0, 25, 6, 17, 13, 26, 12, 9, 22, 21, 11, 2, 8, 18, 7, 19, 3, 0]
  - Vehicle: 40ft | RC: -156858.63 | Cost: 3141.37 | Route: [0, 24, 25, 6, 17, 13, 26, 12, 9, 22, 21, 11, 19, 2, 8, 18, 7, 0]
  - Vehicle: 4w | RC: -148433.69 | Cost: 1566.31 | Route: [0, 2, 8, 18, 7, 26, 12, 9, 22, 21, 11, 19, 3, 5, 20, 13, 0]
  - Vehicle: 4w | RC: -148361.58 | Cost: 1638.42 | Route: [0, 21, 11, 2, 8, 18, 7, 26, 12, 9, 22, 19, 3, 5, 20, 13, 0]
  - Vehicle: 6w | RC: -148144.21 | Cost: 1855.79 | Route: [0, 2, 8, 18, 7, 26, 12, 9, 22, 21, 11, 19, 3, 5, 20, 13, 0]
  - Vehicle: 10w | RC: -148103.63 | Cost: 1896.37 | Route: [0, 8, 2, 11, 21, 19, 3, 5, 18, 26, 13, 12, 9, 22, 7, 1, 0]
  - Vehicle: 6w | RC: -148060.00 | Cost: 1940.00 | Route: [0, 21, 11, 2, 8, 18, 7, 26, 12, 9, 22, 19, 3, 5, 20, 13, 0]
  - Vehicle: 40ft | RC: -147692.48 | Cost: 2307.52 | Route: [0, 11, 21, 19, 2, 8, 18, 7, 26, 12, 9, 22, 13, 1, 4, 15, 0]
  - Vehicle: 10w | RC: -147622.10 | Cost: 2377.90 | Route: [0, 2, 8, 18, 7, 26, 12, 9, 22, 21, 11, 19, 3, 5, 20, 13, 0]
  - Vehicle: 4w | RC: -137493.51 | Cost: 2506.49 | Route: [0, 23, 17, 13, 26, 12, 7, 18, 8, 2, 11, 21, 19, 5, 3, 0]
  - Vehicle: 6w | RC: -137046.35 | Cost: 2953.65 | Route: [0, 23, 17, 13, 26, 12, 7, 18, 8, 2, 11, 21, 19, 5, 3, 0]
  - Vehicle: 10w | RC: -136210.86 | Cost: 3789.14 | Route: [0, 23, 17, 13, 26, 12, 7, 18, 8, 2, 11, 21, 19, 5, 3, 0]
  - Vehicle: 40ft | RC: -135610.81 | Cost: 4389.19 | Route: [0, 23, 17, 13, 26, 12, 7, 18, 8, 2, 11, 21, 19, 3, 10, 0]
  - Vehicle: 4w | RC: -127250.94 | Cost: 2749.06 | Route: [0, 16, 17, 6, 13, 12, 26, 7, 18, 8, 2, 21, 19, 11, 0]
  - Vehicle: 6w | RC: -126763.81 | Cost: 3236.19 | Route: [0, 16, 17, 6, 13, 12, 26, 7, 18, 8, 2, 21, 19, 11, 0]
  - Vehicle: 10w | RC: -125847.46 | Cost: 4152.54 | Route: [0, 16, 17, 6, 13, 12, 26, 7, 18, 8, 2, 21, 19, 11, 0]
  - Vehicle: 40ft | RC: -125337.70 | Cost: 4662.30 | Route: [0, 16, 17, 6, 13, 12, 26, 7, 18, 8, 2, 21, 19, 11, 0]
  - Vehicle: AUV | RC: -98171.23 | Cost: 1828.77 | Route: [0, 24, 25, 6, 12, 7, 18, 8, 21, 20, 10, 0]
  - Vehicle: AUV | RC: -98161.71 | Cost: 1838.29 | Route: [0, 10, 20, 21, 8, 18, 7, 12, 6, 24, 25, 0]
  - Vehicle: AUV | RC: -98043.47 | Cost: 1956.53 | Route: [0, 12, 7, 18, 8, 21, 20, 10, 6, 24, 25, 0]
  - Vehicle: AUV | RC: -97997.67 | Cost: 2002.33 | Route: [0, 8, 18, 7, 12, 21, 20, 10, 6, 24, 25, 0]
  - Vehicle: AUV | RC: -97995.39 | Cost: 2004.61 | Route: [0, 21, 8, 18, 7, 12, 6, 24, 25, 20, 10, 0]
  - Vehicle: AUV | RC: -97957.57 | Cost: 2042.43 | Route: [0, 18, 8, 21, 12, 7, 20, 10, 6, 24, 25, 0]
  - Vehicle: AUV | RC: -97944.04 | Cost: 2055.96 | Route: [0, 6, 12, 7, 18, 8, 21, 20, 10, 24, 25, 0]
  - Vehicle: AUV | RC: -97843.06 | Cost: 2156.94 | Route: [0, 20, 21, 8, 18, 7, 12, 6, 24, 25, 10, 0]
  - Vehicle: AUV | RC: -88494.40 | Cost: 1505.60 | Route: [0, 25, 6, 12, 7, 18, 8, 21, 20, 10, 0]
  - Vehicle: AUV | RC: -87789.18 | Cost: 2210.82 | Route: [0, 7, 18, 8, 21, 12, 6, 20, 10, 24, 0]
  - Vehicle: AUV | RC: -87424.49 | Cost: 2575.51 | Route: [0, 16, 6, 12, 7, 18, 8, 21, 20, 10, 0]
  - Vehicle: MC | RC: -19729.91 | Cost: 270.09 | Route: [0, 8, 6, 0]
  - Vehicle: MC | RC: -19716.25 | Cost: 283.75 | Route: [0, 6, 8, 0]

[Iteration 2] RMP Objective: 9526.06
[Iteration 2] POMO generated 97 negative RC columns.
[Iteration 2] Adding Columns:
  - Vehicle: 4w | RC: -4450.93 | Cost: 3106.61 | Route: [0, 16, 23, 15, 18, 7, 26, 13, 12, 8, 2, 14, 0]
  - Vehicle: 6w | RC: -3295.47 | Cost: 3233.88 | Route: [0, 16, 23, 15, 18, 7, 26, 13, 1, 8, 2, 11, 0]
  - Vehicle: 4w | RC: -3036.13 | Cost: 2423.31 | Route: [0, 23, 25, 6, 13, 26, 7, 18, 15, 4, 1, 8, 0]
  - Vehicle: 6w | RC: -2603.63 | Cost: 2855.80 | Route: [0, 23, 25, 6, 13, 26, 7, 18, 15, 4, 1, 8, 0]
  - Vehicle: 10w | RC: -2374.54 | Cost: 4154.80 | Route: [0, 16, 23, 15, 1, 18, 7, 26, 13, 12, 8, 2, 0]
  - Vehicle: 4w | RC: -2304.27 | Cost: 1816.62 | Route: [0, 25, 6, 13, 26, 7, 18, 8, 2, 14, 19, 15, 4, 1, 0]
  - Vehicle: 4w | RC: -2149.76 | Cost: 2154.55 | Route: [0, 6, 25, 24, 12, 26, 18, 15, 8, 2, 14, 19, 0]
  - Vehicle: 4w | RC: -2096.67 | Cost: 2207.64 | Route: [0, 24, 25, 6, 13, 26, 18, 15, 8, 2, 14, 19, 0]
  - Vehicle: 40ft | RC: -1864.63 | Cost: 4664.71 | Route: [0, 16, 23, 15, 1, 18, 7, 26, 13, 12, 8, 2, 0]
  - Vehicle: 6w | RC: -1830.08 | Cost: 2151.06 | Route: [0, 25, 6, 13, 26, 7, 18, 15, 8, 2, 14, 19, 0]
  - Vehicle: 10w | RC: -1795.86 | Cost: 3663.57 | Route: [0, 23, 25, 6, 13, 26, 7, 18, 15, 4, 1, 8, 0]
  - Vehicle: 6w | RC: -1761.96 | Cost: 2542.35 | Route: [0, 6, 25, 24, 12, 26, 18, 15, 8, 2, 14, 19, 0]
  - Vehicle: 6w | RC: -1700.99 | Cost: 2603.32 | Route: [0, 24, 25, 6, 13, 26, 18, 15, 8, 2, 14, 19, 0]
  - Vehicle: AUV | RC: -1634.37 | Cost: 2077.00 | Route: [0, 16, 25, 6, 7, 18, 8, 0]
  - Vehicle: 4w | RC: -1583.33 | Cost: 1216.83 | Route: [0, 1, 15, 18, 8, 2, 14, 19, 11, 26, 13, 12, 0]
  - Vehicle: 4w | RC: -1511.22 | Cost: 1149.19 | Route: [0, 15, 18, 8, 2, 14, 19, 11, 7, 26, 13, 0]
  - Vehicle: 4w | RC: -1496.40 | Cost: 1164.00 | Route: [0, 4, 15, 18, 8, 2, 14, 19, 11, 7, 26, 13, 0]
  - Vehicle: 4w | RC: -1463.11 | Cost: 1197.29 | Route: [0, 13, 26, 7, 18, 15, 8, 2, 14, 19, 0]
  - Vehicle: 4w | RC: -1406.07 | Cost: 1254.34 | Route: [0, 3, 14, 19, 2, 8, 18, 15, 7, 26, 13, 0]
  - Vehicle: 4w | RC: -1401.00 | Cost: 1259.41 | Route: [0, 20, 14, 19, 2, 8, 18, 15, 7, 26, 13, 0]
  - Vehicle: 4w | RC: -1397.96 | Cost: 1262.44 | Route: [0, 12, 26, 7, 18, 15, 8, 2, 14, 19, 0]
  - Vehicle: 4w | RC: -1397.64 | Cost: 1262.77 | Route: [0, 19, 14, 3, 2, 8, 18, 15, 7, 26, 13, 0]
  - Vehicle: 4w | RC: -1375.96 | Cost: 1284.44 | Route: [0, 21, 14, 19, 2, 8, 18, 15, 7, 26, 13, 0]
  - Vehicle: 4w | RC: -1370.63 | Cost: 1474.64 | Route: [0, 10, 14, 19, 2, 8, 18, 15, 7, 26, 13, 0]
  - Vehicle: 6w | RC: -1354.09 | Cost: 1446.07 | Route: [0, 1, 15, 18, 8, 2, 14, 19, 11, 26, 13, 12, 0]
  - Vehicle: 4w | RC: -1344.40 | Cost: 1316.00 | Route: [0, 5, 14, 19, 2, 8, 18, 15, 7, 26, 13, 0]
  - Vehicle: 40ft | RC: -1340.96 | Cost: 4118.48 | Route: [0, 23, 25, 6, 13, 26, 7, 18, 15, 4, 1, 8, 0]
  - Vehicle: 6w | RC: -1277.60 | Cost: 1382.81 | Route: [0, 4, 15, 18, 8, 2, 14, 19, 11, 7, 26, 13, 0]
  - Vehicle: 6w | RC: -1262.38 | Cost: 1537.78 | Route: [0, 3, 14, 19, 2, 8, 18, 15, 1, 7, 26, 13, 0]
  - Vehicle: 6w | RC: -1256.79 | Cost: 1543.37 | Route: [0, 20, 14, 19, 2, 8, 18, 15, 1, 7, 26, 13, 0]
  - Vehicle: 6w | RC: -1252.18 | Cost: 1547.97 | Route: [0, 19, 14, 3, 2, 8, 18, 15, 1, 7, 26, 13, 0]
  - Vehicle: 4w | RC: -1243.40 | Cost: 1417.00 | Route: [0, 17, 13, 26, 7, 18, 8, 2, 14, 19, 11, 15, 4, 0]
  - Vehicle: 6w | RC: -1239.40 | Cost: 1421.01 | Route: [0, 13, 26, 7, 18, 15, 8, 2, 14, 19, 0]
  - Vehicle: 4w | RC: -1235.15 | Cost: 1425.26 | Route: [0, 9, 12, 26, 7, 18, 15, 8, 2, 14, 19, 0]
  - Vehicle: 6w | RC: -1226.81 | Cost: 1573.35 | Route: [0, 21, 14, 19, 2, 8, 18, 15, 1, 7, 26, 13, 0]
  - Vehicle: 10w | RC: -1223.21 | Cost: 2757.93 | Route: [0, 25, 6, 13, 26, 7, 18, 15, 8, 2, 14, 19, 0]
  - Vehicle: 6w | RC: -1221.68 | Cost: 1438.73 | Route: [0, 26, 7, 18, 15, 8, 2, 14, 19, 11, 0]
  - Vehicle: 6w | RC: -1205.35 | Cost: 1455.05 | Route: [0, 15, 18, 8, 2, 14, 19, 11, 7, 26, 13, 12, 0]
  - Vehicle: 6w | RC: -1189.99 | Cost: 1610.17 | Route: [0, 5, 14, 19, 2, 8, 18, 15, 1, 7, 26, 13, 0]
  - Vehicle: 6w | RC: -1189.63 | Cost: 1795.40 | Route: [0, 10, 14, 19, 2, 8, 18, 15, 1, 7, 26, 13, 0]
  - Vehicle: 6w | RC: -1163.27 | Cost: 1497.14 | Route: [0, 12, 26, 7, 18, 15, 8, 2, 14, 19, 0]
